env_id	c	omega_cpp	omega_julia	omega_rel_err	kappa_cpp	kappa_julia	kappa_rel_err	final_D_cpp	final_D_julia	final_D_rel_err	final_A_cpp	final_A_julia	final_A_rel_err	div_cpp	div_julia	div_abs_err
E1	0.001	0.005	0.005	1.21430643318e-15	1	1	0	0	0	0	0	0	0	0	0	0
E1	0.1	0.005	0.005	1.21430643318e-15	1	1	0	0	0	0	0	0	0	0	0	0
E1	1	0.005	0.005	1.21430643318e-15	1	1	0	0	0	0	0	0	0	0	0	0
E1	1000	0.005	0.005	1.21430643318e-15	1	1	0	0	0	0	0	0	0	0	0	0
E1	1e-05	0.005	0.005	1.21430643318e-15	1	1	0	0	0	0	0	0	0	0	0	0
E10	0.001	0.0008335	0.0008335	1.04062596039e-15	2.99940011998	2.99940011998	1.33179378636e-12	0	0	0	0	0	0	0	0	0
E10	0.1	0.0008335	0.0008335	1.04062596039e-15	2.99940011998	2.99940011998	1.33179378636e-12	0	0	0	0	0	0	0	0	0
E10	1	0.0008335	0.0008335	1.04062596039e-15	2.99940011998	2.99940011998	1.33179378636e-12	0	0	0	0	0	0	0	0	0
E10	1000	0.0008335	0.0008335	1.04062596039e-15	2.99940011998	2.99940011998	1.33179378636e-12	0	0	0	0	0	0	0	0	0
E10	1e-05	0.0008335	0.0008335	1.04062596039e-15	2.99940011998	2.99940011998	1.33179378636e-12	0	0	0	0	0	0	0	0	0
E11	0.001	6.79670595032e-09	6.79670595032e-09	1.46043795674e-15	28846.1538462	28846.1538462	1.59978905382e-12	0	0	0	0	0	0	0	0	0
E11	0.1	6.79670595032e-09	6.79670595032e-09	1.46043795674e-15	28846.1538462	28846.1538462	1.59978905382e-12	0	0	0	0	0	0	0	0	0
E11	1	6.79670595032e-09	6.79670595032e-09	1.46043795674e-15	28846.1538462	28846.1538462	1.59978905382e-12	0	0	0	0	0	0	0	0	0
E11	1000	6.79670595032e-09	6.79670595032e-09	1.46043795674e-15	28846.1538462	28846.1538462	1.59978905382e-12	0	0	0	0	0	0	0	0	0
E11	1e-05	6.79670595032e-09	6.79670595032e-09	1.46043795674e-15	28846.1538462	28846.1538462	1.59978905382e-12	0	0	0	0	0	0	0	0	0
E12	0.001	5e-08	5e-08	7.94093388051e-16	10000	10000	0	69.6752216503	69.7540151241	0.00112959051403	83.3566802844	83.4347545277	0.000935752058503	0	0	0
E12	0.1	5e-08	5e-08	7.94093388051e-16	10000	10000	0	70.1741375947	70.0616102074	0.00160612048406	83.9682930977	83.8557607085	0.00134197565259	0	0	0
E12	1	5e-08	5e-08	7.94093388051e-16	10000	10000	0	69.6854732213	69.6865035088	1.47846060302e-05	83.481240184	83.4822704898	1.23416121046e-05	0	0	0
E12	1000	5e-08	5e-08	7.94093388051e-16	10000	10000	0	69.6765050113	69.6765050106	1.00464034678e-11	83.4724530017	83.4724530011	7.18795812701e-12	0	0	0
E12	1e-05	5e-08	5e-08	7.94093388051e-16	10000	10000	0	inf	4.42335370544e+67	nan	inf	5.28486962753e+67	nan	1	1	0
E2	0.001	1.24990625469e-07	1.24990625469e-07	2.17132004291e-12	40002.000075	40002.000075	3.14669432752e-14	0	0	0	0	0	0	0	0	0
E2	0.1	1.24990625469e-07	1.24990625469e-07	2.17132004291e-12	40002.000075	40002.000075	3.14669432752e-14	0	0	0	0	0	0	0	0	0
E2	1	1.24990625469e-07	1.24990625469e-07	2.17132004291e-12	40002.000075	40002.000075	3.14669432752e-14	0	0	0	0	0	0	0	0	0
E2	1000	1.24990625469e-07	1.24990625469e-07	2.17132004291e-12	40002.000075	40002.000075	3.14669432752e-14	0	0	0	0	0	0	0	0	0
E2	1e-05	1.24990625469e-07	1.24990625469e-07	2.17132004291e-12	40002.000075	40002.000075	3.14669432752e-14	0	0	0	0	0	0	0	0	0
E3	0.001	1.24990625469e-07	1.24990625469e-07	2.17132004291e-12	40002.000075	40002.000075	3.14669432752e-14	0	0	0	0	0	0	0	0	0
E3	0.1	1.24990625469e-07	1.24990625469e-07	2.17132004291e-12	40002.000075	40002.000075	3.14669432752e-14	0	0	0	0	0	0	0	0	0
E3	1	1.24990625469e-07	1.24990625469e-07	2.17132004291e-12	40002.000075	40002.000075	3.14669432752e-14	0	0	0	0	0	0	0	0	0
E3	1000	1.24990625469e-07	1.24990625469e-07	2.17132004291e-12	40002.000075	40002.000075	3.14669432752e-14	0	0	0	0	0	0	0	0	0
E3	1e-05	1.24990625469e-07	1.24990625469e-07	2.17132004291e-12	40002.000075	40002.000075	3.14669432752e-14	0	0	0	0	0	0	0	0	0
E4	0.001	8.33270836458e-08	8.33270836458e-08	2.28874879194e-13	40002.000075	40002.000075	3.11031635841e-14	0	0	0	0	0	0	0	0	0
E4	0.1	8.33270836458e-08	8.33270836458e-08	2.28874879194e-13	40002.000075	40002.000075	3.11031635841e-14	0	0	0	0	0	0	0	0	0
E4	1	8.33270836458e-08	8.33270836458e-08	2.28874879194e-13	40002.000075	40002.000075	3.11031635841e-14	0	0	0	0	0	0	0	0	0
E4	1000	8.33270836458e-08	8.33270836458e-08	2.28874879194e-13	40002.000075	40002.000075	3.11031635841e-14	0	0	0	0	0	0	0	0	0
E4	1e-05	8.33270836458e-08	8.33270836458e-08	2.28874879194e-13	40002.000075	40002.000075	3.11031635841e-14	0	0	0	0	0	0	0	0	0
E5	0.001	0.0005	0.0005	8.67361737988e-16	1	1	0	0	0	0	0	0	0	0	0	0
E5	0.1	0.0005	0.0005	8.67361737988e-16	1	1	0	0	0	0	0	0	0	0	0	0
E5	1	0.0005	0.0005	8.67361737988e-16	1	1	0	0	0	0	0	0	0	0	0	0
E5	1000	0.0005	0.0005	8.67361737988e-16	1	1	0	0	0	0	0	0	0	0	0	0
E5	1e-05	0.0005	0.0005	8.67361737988e-16	1	1	0	0	0	0	0	0	0	0	0	0
E6	0.001	8.33333333333e-05	8.33333333333e-05	3.02817666775e-13	1	1	4.50972592603e-13	0	0	0	0	0	0	0	0	0
E6	0.1	8.33333333333e-05	8.33333333333e-05	3.02817666775e-13	1	1	4.50972592603e-13	0	0	0	0	0	0	0	0	0
E6	1	8.33333333333e-05	8.33333333333e-05	3.02817666775e-13	1	1	4.50972592603e-13	0	0	0	0	0	0	0	0	0
E6	1000	8.33333333333e-05	8.33333333333e-05	3.02817666775e-13	1	1	4.50972592603e-13	0	0	0	0	0	0	0	0	0
E6	1e-05	8.33333333333e-05	8.33333333333e-05	3.02817666775e-13	1	1	4.50972592603e-13	0	0	0	0	0	0	0	0	0
E7	0.001	0.005	0.005	6.93889390391e-16	1	1	0	0.580981295703	0.663797110372	0.124760733928	0.580981295703	0.663797110372	0.124760733928	0	0	0
E7	0.1	0.005	0.005	6.93889390391e-16	1	1	0	0.506751436364	0.394237771422	0.285395446855	0.506751436364	0.394237771422	0.285395446855	0	0	0
E7	1	0.005	0.005	6.93889390391e-16	1	1	0	0.00988440805981	0.0109148086843	0.0944039107137	0.00988440805981	0.0109148086843	0.0944039107137	0	0	0
E7	1000	0.005	0.005	6.93889390391e-16	1	1	0	9.05279598463e-09	8.42020226761e-09	0.0751280903849	9.05279598463e-09	8.42020226761e-09	0.0751280903849	0	0	0
E7	1e-05	0.005	0.005	6.93889390391e-16	1	1	0	inf	1.20597823437e+37	nan	inf	1.20597823437e+37	nan	1	1	0
E8	0.001	0.00015625	0.00015625	6.93889390391e-16	1	1	0	0	0	0	0	0	0	0	0	0
E8	0.1	0.00015625	0.00015625	6.93889390391e-16	1	1	0	0	0	0	0	0	0	0	0	0
E8	1	0.00015625	0.00015625	6.93889390391e-16	1	1	0	0	0	0	0	0	0	0	0	0
E8	1000	0.00015625	0.00015625	6.93889390391e-16	1	1	0	0	0	0	0	0	0	0	0	0
E8	1e-05	0.00015625	0.00015625	6.93889390391e-16	1	1	0	0	0	0	0	0	0	0	0	0
E9	0.001	2.71539685163e-05	2.71539685162e-05	1.8663818981e-12	4.63543348483	4.63543348483	6.13331877324e-13	0	0	0	0	0	0	0	0	0
E9	0.1	2.71539685163e-05	2.71539685162e-05	1.8663818981e-12	4.63543348483	4.63543348483	6.13331877324e-13	0	0	0	0	0	0	0	0	0
E9	1	2.71539685163e-05	2.71539685162e-05	1.8663818981e-12	4.63543348483	4.63543348483	6.13331877324e-13	0	0	0	0	0	0	0	0	0
E9	1000	2.71539685163e-05	2.71539685162e-05	1.8663818981e-12	4.63543348483	4.63543348483	6.13331877324e-13	0	0	0	0	0	0	0	0	0
E9	1e-05	2.71539685163e-05	2.71539685162e-05	1.8663818981e-12	4.63543348483	4.63543348483	6.13331877324e-13	0	0	0	0	0	0	0	0	0
toyexample	0.001	0.0538650348928	0.0554170059629	0.0280053215278	23.5770197289	22.3652566352	0.0541806031316	inf	2975.92527572	nan	inf	40911.749579	nan	0.0208333333333	0.125	0.104166666667
toyexample	0.1	0.0538650348928	0.0554170059629	0.0280053215278	23.5770197289	22.3652566352	0.0541806031316	0.0669720222826	0.0416689982575	0.607238596636	0.593647491049	0.339374992937	0.749237579091	0	0	0
toyexample	1	0.0538650348928	0.0554170059629	0.0280053215278	23.5770197289	22.3652566352	0.0541806031316	0.417294120997	0.486748133785	0.142689838886	2.72429111059	3.14956151976	0.13502527463	0	0	0
toyexample	1000	0.0538650348928	0.0554170059629	0.0280053215278	23.5770197289	22.3652566352	0.0541806031316	0.543667836736	0.677090429523	0.197052841053	3.49167694133	4.36912327156	0.200828925094	0	0	0
toyexample	1e-05	0.0538650348928	0.0554170059629	0.0280053215278	23.5770197289	22.3652566352	0.0541806031316	inf	nan	nan	inf	nan	nan	1	1	0
