env_id	c	omega_cpp	omega_julia	omega_rel_err	kappa_cpp	kappa_julia	kappa_rel_err	final_D_cpp	final_D_julia	final_D_rel_err	final_A_cpp	final_A_julia	final_A_rel_err	div_cpp	div_julia	div_abs_err
E1	0.001	0.005	0.005	1.21430643318e-15	1	1	0	0	0	0	0	0	0	0	0	0
E1	0.1	0.005	0.005	1.21430643318e-15	1	1	0	0	0	0	0	0	0	0	0	0
E1	1	0.005	0.005	1.21430643318e-15	1	1	0	0	0	0	0	0	0	0	0	0
E1	1000	0.005	0.005	1.21430643318e-15	1	1	0	0	0	0	0	0	0	0	0	0
E1	1e-05	0.005	0.005	1.21430643318e-15	1	1	0	0	0	0	0	0	0	0	0	0
E10	0.001	0.0008335	0.0008335	1.04062596039e-15	2.99940011998	2.99940011998	1.33179378636e-12	0	0	0	0	0	0	0	0	0
E10	0.1	0.0008335	0.0008335	1.04062596039e-15	2.99940011998	2.99940011998	1.33179378636e-12	0	0	0	0	0	0	0	0	0
E10	1	0.0008335	0.0008335	1.04062596039e-15	2.99940011998	2.99940011998	1.33179378636e-12	0	0	0	0	0	0	0	0	0
E10	1000	0.0008335	0.0008335	1.04062596039e-15	2.99940011998	2.99940011998	1.33179378636e-12	0	0	0	0	0	0	0	0	0
E10	1e-05	0.0008335	0.0008335	1.04062596039e-15	2.99940011998	2.99940011998	1.33179378636e-12	0	0	0	0	0	0	0	0	0
E11	0.001	6.79670595032e-09	6.79670595032e-09	1.46043795674e-15	28846.1538462	28846.1538462	1.59978905382e-12	0	0	0	0	0	0	0	0	0
E11	0.1	6.79670595032e-09	6.79670595032e-09	1.46043795674e-15	28846.1538462	28846.1538462	1.59978905382e-12	0	0	0	0	0	0	0	0	0
E11	1	6.79670595032e-09	6.79670595032e-09	1.46043795674e-15	28846.1538462	28846.1538462	1.59978905382e-12	0	0	0	0	0	0	0	0	0
E11	1000	6.79670595032e-09	6.79670595032e-09	1.46043795674e-15	28846.1538462	28846.1538462	1.59978905382e-12	0	0	0	0	0	0	0	0	0
E11	1e-05	6.79670595032e-09	6.79670595032e-09	1.46043795674e-15	28846.1538462	28846.1538462	1.59978905382e-12	0	0	0	0	0	0	0	0	0
E12	0.001	5e-08	5e-08	7.94093388051e-16	10000	10000	0	69.6352870877	69.6352870877	0	83.3160014084	83.3160014084	0	0	0	0
E12	0.1	5e-08	5e-08	7.94093388051e-16	10000	10000	0	70.1873069908	70.1873069908	0	83.9814608344	83.9814608344	0	0	0	0
E12	1	5e-08	5e-08	7.94093388051e-16	10000	10000	0	69.6860436707	69.6860436707	0	83.4818106441	83.4818106441	0	0	0	0
E12	1000	5e-08	5e-08	7.94093388051e-16	10000	10000	0	69.6765050094	69.6765050094	0	83.4724529998	83.4724529998	0	0	0	0
E12	1e-05	5e-08	5e-08	7.94093388051e-16	10000	10000	0	inf	2.43896107324e+67	nan	inf	2.92090108981e+67	nan	1	1	0
E2	0.001	1.24990625469e-07	1.24990625469e-07	2.17132004291e-12	40002.000075	40002.000075	3.14669432752e-14	0	0	0	0	0	0	0	0	0
E2	0.1	1.24990625469e-07	1.24990625469e-07	2.17132004291e-12	40002.000075	40002.000075	3.14669432752e-14	0	0	0	0	0	0	0	0	0
E2	1	1.24990625469e-07	1.24990625469e-07	2.17132004291e-12	40002.000075	40002.000075	3.14669432752e-14	0	0	0	0	0	0	0	0	0
E2	1000	1.24990625469e-07	1.24990625469e-07	2.17132004291e-12	40002.000075	40002.000075	3.14669432752e-14	0	0	0	0	0	0	0	0	0
E2	1e-05	1.24990625469e-07	1.24990625469e-07	2.17132004291e-12	40002.000075	40002.000075	3.14669432752e-14	0	0	0	0	0	0	0	0	0
E3	0.001	1.24990625469e-07	1.24990625469e-07	2.17132004291e-12	40002.000075	40002.000075	3.14669432752e-14	0	0	0	0	0	0	0	0	0
E3	0.1	1.24990625469e-07	1.24990625469e-07	2.17132004291e-12	40002.000075	40002.000075	3.14669432752e-14	0	0	0	0	0	0	0	0	0
E3	1	1.24990625469e-07	1.24990625469e-07	2.17132004291e-12	40002.000075	40002.000075	3.14669432752e-14	0	0	0	0	0	0	0	0	0
E3	1000	1.24990625469e-07	1.24990625469e-07	2.17132004291e-12	40002.000075	40002.000075	3.14669432752e-14	0	0	0	0	0	0	0	0	0
E3	1e-05	1.24990625469e-07	1.24990625469e-07	2.17132004291e-12	40002.000075	40002.000075	3.14669432752e-14	0	0	0	0	0	0	0	0	0
E4	0.001	8.33270836458e-08	8.33270836458e-08	2.28874879194e-13	40002.000075	40002.000075	3.11031635841e-14	0	0	0	0	0	0	0	0	0
E4	0.1	8.33270836458e-08	8.33270836458e-08	2.28874879194e-13	40002.000075	40002.000075	3.11031635841e-14	0	0	0	0	0	0	0	0	0
E4	1	8.33270836458e-08	8.33270836458e-08	2.28874879194e-13	40002.000075	40002.000075	3.11031635841e-14	0	0	0	0	0	0	0	0	0
E4	1000	8.33270836458e-08	8.33270836458e-08	2.28874879194e-13	40002.000075	40002.000075	3.11031635841e-14	0	0	0	0	0	0	0	0	0
E4	1e-05	8.33270836458e-08	8.33270836458e-08	2.28874879194e-13	40002.000075	40002.000075	3.11031635841e-14	0	0	0	0	0	0	0	0	0
E5	0.001	0.0005	0.0005	8.67361737988e-16	1	1	0	0	0	0	0	0	0	0	0	0
E5	0.1	0.0005	0.0005	8.67361737988e-16	1	1	0	0	0	0	0	0	0	0	0	0
E5	1	0.0005	0.0005	8.67361737988e-16	1	1	0	0	0	0	0	0	0	0	0	0
E5	1000	0.0005	0.0005	8.67361737988e-16	1	1	0	0	0	0	0	0	0	0	0	0
E5	1e-05	0.0005	0.0005	8.67361737988e-16	1	1	0	0	0	0	0	0	0	0	0	0
E6	0.001	8.33333333333e-05	8.33333333333e-05	3.02817666775e-13	1	1	4.50972592603e-13	0	0	0	0	0	0	0	0	0
E6	0.1	8.33333333333e-05	8.33333333333e-05	3.02817666775e-13	1	1	4.50972592603e-13	0	0	0	0	0	0	0	0	0
E6	1	8.33333333333e-05	8.33333333333e-05	3.02817666775e-13	1	1	4.50972592603e-13	0	0	0	0	0	0	0	0	0
E6	1000	8.33333333333e-05	8.33333333333e-05	3.02817666775e-13	1	1	4.50972592603e-13	0	0	0	0	0	0	0	0	0
E6	1e-05	8.33333333333e-05	8.33333333333e-05	3.02817666775e-13	1	1	4.50972592603e-13	0	0	0	0	0	0	0	0	0
E7	0.001	0.005	0.005	6.93889390391e-16	1	1	0	0.544281116499	0.544281116499	0	0.544281116499	0.544281116499	0	0	0	0
E7	0.1	0.005	0.005	6.93889390391e-16	1	1	0	0.519940558336	0.519940558336	0	0.519940558336	0.519940558336	0	0	0	0
E7	1	0.005	0.005	6.93889390391e-16	1	1	0	0.0104549117039	0.0104549117039	0	0.0104549117039	0.0104549117039	0	0	0	0
E7	1000	0.005	0.005	6.93889390391e-16	1	1	0	7.21244512739e-09	7.21244512739e-09	0	7.21244512739e-09	7.21244512739e-09	0	0	0	0
E7	1e-05	0.005	0.005	6.93889390391e-16	1	1	0	inf	1.20597823437e+37	nan	inf	1.20597823437e+37	nan	1	1	0
E8	0.001	0.00015625	0.00015625	6.93889390391e-16	1	1	0	0	0	0	0	0	0	0	0	0
E8	0.1	0.00015625	0.00015625	6.93889390391e-16	1	1	0	0	0	0	0	0	0	0	0	0
E8	1	0.00015625	0.00015625	6.93889390391e-16	1	1	0	0	0	0	0	0	0	0	0	0
E8	1000	0.00015625	0.00015625	6.93889390391e-16	1	1	0	0	0	0	0	0	0	0	0	0
E8	1e-05	0.00015625	0.00015625	6.93889390391e-16	1	1	0	0	0	0	0	0	0	0	0	0
E9	0.001	2.71539685163e-05	2.71539685162e-05	1.8663818981e-12	4.63543348483	4.63543348483	6.13331877324e-13	0	0	0	0	0	0	0	0	0
E9	0.1	2.71539685163e-05	2.71539685162e-05	1.8663818981e-12	4.63543348483	4.63543348483	6.13331877324e-13	0	0	0	0	0	0	0	0	0
E9	1	2.71539685163e-05	2.71539685162e-05	1.8663818981e-12	4.63543348483	4.63543348483	6.13331877324e-13	0	0	0	0	0	0	0	0	0
E9	1000	2.71539685163e-05	2.71539685162e-05	1.8663818981e-12	4.63543348483	4.63543348483	6.13331877324e-13	0	0	0	0	0	0	0	0	0
E9	1e-05	2.71539685163e-05	2.71539685162e-05	1.8663818981e-12	4.63543348483	4.63543348483	6.13331877324e-13	0	0	0	0	0	0	0	0	0
toyexample	0.001	0.0547860516347	0.0547860516347	7.69298759716e-13	23.8494127276	23.8494127276	1.18501187588e-12	inf	26.2024870782	nan	inf	852.312294576	nan	0.0208333333333	0.0208333333333	0
toyexample	0.1	0.0547860516347	0.0547860516347	7.69298759716e-13	23.8494127276	23.8494127276	1.18501187588e-12	0.0725956785247	0.0725956785247	0	0.479913612461	0.479913612461	0	0	0	0
toyexample	1	0.0547860516347	0.0547860516347	7.69298759716e-13	23.8494127276	23.8494127276	1.18501187588e-12	0.55426223207	0.55426223207	0	3.13969007326	3.13969007326	0	0	0	0
toyexample	1000	0.0547860516347	0.0547860516347	7.69298759716e-13	23.8494127276	23.8494127276	1.18501187588e-12	0.714997045301	0.714997045301	0	4.02941354562	4.02941354562	0	0	0	0
toyexample	1e-05	0.0547860516347	0.0547860516347	7.69298759716e-13	23.8494127276	23.8494127276	1.18501187588e-12	inf	0	nan	inf	0	nan	1	1	0
