env	best_k	t_mix_upper_eps1e-6	delta_bestk	alpha_bestk	tau_alpha_bestk	C_bestk	K	eps
toyexample	254	2540.0	0.2498942773144686	0.9945553589873021	183.66683821170432	1.0	256	1e-06
E1	1	6901.0	0.998	0.998	499.99999999999955	1.0	256	1e-06
E2	1	6901.0	0.998	0.998	499.99999999999955	1.0	256	1e-06
E3	1	6901.0	0.998	0.998	499.99999999999955	1.0	256	1e-06
E4	2	27618.0	0.999	0.999499874937461	1999.4998749376305	1.0	256	1e-06
E5	256	5855744.0	0.9993961876215991	0.9999976406483048	423845.246140825	1.0	256	1e-06
E6	101	101.0	7.304875953512494e-07	0.8694481576255351	7.659792323203501	1.0	256	1e-06
E7	1	6901.0	0.998	0.998	499.99999999999955	1.0	256	1e-06
E8	256	168109937664.0	0.999999978961561	0.9999999999178186	12168207535.477089	1.0	256	1e-06
E9	129	1419.0	0.2847658798648651	0.9903101366338081	103.20062958668892	1.0	256	1e-06
E10	155	1395.0	0.21336969241316783	0.9900835025782238	100.84205717676467	1.0	256	1e-06
E11	256	70912.0	0.9512288076130652	0.9998047040394723	5120.433609061661	1.0	256	1e-06
E12	1	6901.0	0.9980000000000004	0.9980000000000004	500.00000000011056	1.0	256	1e-06
