instance_key	env	case_id	control_key	control_value	gamma	n_states	d	omega	kappa	lambda_min_A_plus_AT_over_2	phi_max_sq	tau_proxy	best_k	delta_bestk	alpha_hat	tau_alpha	C_hat	t_mix_upper_alpha_eps1e-6	theta_star_norm	r_max	R_oracle	R_upper	matrix_dir
toyexample_case0001_feature_omega_beta_1em3	toyexample	0001	feature_omega_beta	1e-3	0.98999999999999999	50	5	5.6977104377331678e-10	5459085.7063057208	3.7859659172568428e-08	1	156.6148003387751	254	0.24989427731446873	0.99455535898730207	183.66683821170332	1	2540	7023.1906835578447	0.99837175568105807	7023.1906835578447	83651184.449549034	/home/leew0a/codex/TDfullexperiments/verification/instance_matrices_20260404/toyexample_case0001_feature_omega_beta_1em3
toyexample_case0002_feature_omega_beta_1em2	toyexample	0002	feature_omega_beta	1e-2	0.98999999999999999	50	5	5.6972559885907192e-08	54603.910391364319	3.7856646914609976e-06	1	156.6148003387751	254	0.24989427731446873	0.99455535898730207	183.66683821170332	1	2540	702.35610083858137	0.99837175568105807	702.35610083858137	8365452.0656581083	/home/leew0a/codex/TDfullexperiments/verification/instance_matrices_20260404/toyexample_case0002_feature_omega_beta_1em2
toyexample_case0003_feature_omega_beta_1em1	toyexample	0003	feature_omega_beta	1e-1	0.98999999999999999	50	5	5.6521708848625274e-06	559.23447185688349	0.00037557783936124168	1	156.6148003387751	254	0.24989427731446873	0.99455535898730207	183.66683821170332	1	2540	70.60569377346394	0.99837175568105807	70.60569377346394	839874.97276013542	/home/leew0a/codex/TDfullexperiments/verification/instance_matrices_20260404/toyexample_case0003_feature_omega_beta_1em1
toyexample_case0004_feature_omega_beta_1p0	toyexample	0004	feature_omega_beta	1.0	0.98999999999999999	50	5	0.00017524271655953831	23.84941272757176	0.011730314221480746	1	156.6148003387751	254	0.24989427731446873	0.99455535898730207	183.66683821170332	1	2540	14.06379013999052	0.99837175568105807	14.06379013999052	150835.05757019232	/home/leew0a/codex/TDfullexperiments/verification/instance_matrices_20260404/toyexample_case0004_feature_omega_beta_1p0
E1_case0001_eps2_1em4	E1	0001	eps2	1e-4	0.98999999999999999	2	1	0.0050000000500000042	1	0.49940610399504998	1	1	1	0.998	0.998	499.99999999999955	1	6901	0	0	0	0	/home/leew0a/codex/TDfullexperiments/verification/instance_matrices_20260404/E1_case0001_eps2_1em4
E1_case0002_eps2_1em2	E1	0002	eps2	1e-2	0.98999999999999999	2	1	0.0050005000000000041	1	0.48966485049999997	1	1	1	0.998	0.998	499.99999999999955	1	6901	0	0	0	0	/home/leew0a/codex/TDfullexperiments/verification/instance_matrices_20260404/E1_case0002_eps2_1em2
E1_case0003_eps2_1em1	E1	0003	eps2	1e-1	0.98999999999999999	2	1	0.0050500000000000041	1	0.40559904999999996	1	1	1	0.998	0.998	499.99999999999955	1	6901	0	0	0	0	/home/leew0a/codex/TDfullexperiments/verification/instance_matrices_20260404/E1_case0003_eps2_1em1
E1_case0004_eps2_1p0	E1	0004	eps2	1.0	0.98999999999999999	2	1	0.010000000000000011	1	0.010000000000000009	1	1	1	0.998	0.998	499.99999999999955	1	6901	0	0	0	0	/home/leew0a/codex/TDfullexperiments/verification/instance_matrices_20260404/E1_case0004_eps2_1p0
E2_case0001_eps2_1em4	E2	0001	eps2	1e-4	0.98999999999999999	2	2	2.4999999687500019e-11	400000001.99999988	2.9949999625625141e-11	0.99999999999999978	1	1	0.998	0.998	499.99999999999955	1	6901	0	0	0	0	/home/leew0a/codex/TDfullexperiments/verification/instance_matrices_20260404/E2_case0001_eps2_1em4
E2_case0002_eps2_1em2	E2	0002	eps2	1e-2	0.98999999999999999	2	2	2.4996875312469149e-07	40002.000075001262	2.9946256620632314e-07	0.99999999999999989	1	1	0.998	0.998	499.99999999999955	1	6901	0	0	0	0	/home/leew0a/codex/TDfullexperiments/verification/instance_matrices_20260404/E2_case0002_eps2_1em2
E2_case0003_eps2_1em1	E2	0003	eps2	1e-1	0.98999999999999999	2	2	2.469059444615857e-05	402.00751248429691	2.9579295524724063e-05	0.99999999999999978	1	1	0.998	0.998	499.99999999999955	1	6901	0	0	0	0	/home/leew0a/codex/TDfullexperiments/verification/instance_matrices_20260404/E2_case0003_eps2_1em1
E2_case0004_eps2_1p0	E2	0004	eps2	1.0	0.98999999999999999	2	2	0.00095491502812526392	6.8541019662496838	0.001131772782279187	1	1	1	0.998	0.998	499.99999999999955	1	6901	0	0	0	0	/home/leew0a/codex/TDfullexperiments/verification/instance_matrices_20260404/E2_case0004_eps2_1p0
E3_case0001_eps2_1em4	E3	0001	eps2	1e-4	0.98999999999999999	3	2	2.4999999687500019e-11	400000001.99999988	3.3158416252186413e-09	0.99999999999999978	1	2	0.999	0.99949987493746095	1999.4998749374304	1	27618	0	0	0	0	/home/leew0a/codex/TDfullexperiments/verification/instance_matrices_20260404/E3_case0001_eps2_1em4
E3_case0002_eps2_1em2	E3	0002	eps2	1e-2	0.98999999999999999	3	2	2.4996875312469149e-07	40002.000075001262	3.3154268353141542e-05	0.99999999999999989	1	2	0.999	0.99949987493746095	1999.4998749374304	1	27618	0	0	0	0	/home/leew0a/codex/TDfullexperiments/verification/instance_matrices_20260404/E3_case0002_eps2_1em2
E3_case0003_eps2_1em1	E3	0003	eps2	1e-1	0.98999999999999999	3	2	2.469059444615857e-05	402.00751248429691	0.0032675494151501875	0.99999999999999978	1	2	0.999	0.99949987493746095	1999.4998749374304	1	27618	0	0	0	0	/home/leew0a/codex/TDfullexperiments/verification/instance_matrices_20260404/E3_case0003_eps2_1em1
