env	case_id	control	control_value	omega	kappa	phi_max_sq	tau_proxy	manifest_dir
toyexample	0001	feature_omega_beta	1e-3	5.697710437733168e-10	5459085.706305721	1	156.6148003387751	verification/new_instance_smoke/toyexample_20260404_174842
toyexample	0002	feature_omega_beta	1e-2	5.697255988590719e-08	54603.91039136432	1	156.6148003387751	verification/new_instance_smoke/toyexample_20260404_174842
toyexample	0003	feature_omega_beta	1e-1	5.652170884862527e-06	559.2344718568835	1	156.6148003387751	verification/new_instance_smoke/toyexample_20260404_174842
toyexample	0004	feature_omega_beta	1.0	0.0001752427165595383	23.84941272757176	1	156.6148003387751	verification/new_instance_smoke/toyexample_20260404_174842
E1	0001	eps2	1e-4	0.005000000050000004	1	1	1	verification/new_instance_smoke/E1_20260404_174842
E1	0002	eps2	1e-2	0.005000500000000004	1	1	1	verification/new_instance_smoke/E1_20260404_174842
E1	0003	eps2	1e-1	0.005050000000000004	1	1	1	verification/new_instance_smoke/E1_20260404_174842
E1	0004	eps2	1.0	0.01000000000000001	1	1	1	verification/new_instance_smoke/E1_20260404_174842
E2	0001	eps2	1e-4	2.499999968750002e-11	400000001.9999999	0.9999999999999998	1	verification/new_instance_smoke/E2_20260404_174842
E2	0002	eps2	1e-2	2.499687531246915e-07	40002.00007500126	0.9999999999999999	1	verification/new_instance_smoke/E2_20260404_174842
E2	0003	eps2	1e-1	2.469059444615857e-05	402.0075124842969	0.9999999999999998	1	verification/new_instance_smoke/E2_20260404_174842
E2	0004	eps2	1.0	0.0009549150281252639	6.854101966249684	1	1	verification/new_instance_smoke/E2_20260404_174842
E3	0001	eps2	1e-4	2.499999968750002e-11	400000001.9999999	0.9999999999999998	1	verification/new_instance_smoke/E3_20260404_174842
E3	0002	eps2	1e-2	2.499687531246915e-07	40002.00007500126	0.9999999999999999	1	verification/new_instance_smoke/E3_20260404_174842
E3	0003	eps2	1e-1	2.469059444615857e-05	402.0075124842969	0.9999999999999998	1	verification/new_instance_smoke/E3_20260404_174842
E3	0004	eps2	1.0	0.0009549150281252639	6.854101966249684	1	1	verification/new_instance_smoke/E3_20260404_174842
E4	0001	eps2	1e-4	1.666666645833334e-11	400000002.0000001	0.9999999999999998	160799772467.0355	verification/new_instance_smoke/E4_20260404_174842
E4	0002	eps2	1e-2	1.66645835416461e-07	40002.00007500126	0.9999999999999999	160799772467.0355	verification/new_instance_smoke/E4_20260404_174842
E4	0003	eps2	1e-1	1.646039629743904e-05	402.007512484297	0.9999999999999998	160799772467.0355	verification/new_instance_smoke/E4_20260404_174842
E4	0004	eps2	1.0	0.000636610018750176	6.854101966249682	1	160799772467.0355	verification/new_instance_smoke/E4_20260404_174842
E5	0001	feature_omega_beta	1e-3	5.000000000000004e-10	1000000	1	2063.310472125027	verification/new_instance_smoke/E5_20260404_174842
E5	0002	feature_omega_beta	1e-2	5.000000000000004e-08	10000	1	2063.310472125027	verification/new_instance_smoke/E5_20260404_174842
E5	0003	feature_omega_beta	1e-1	5.000000000000005e-06	99.99999999999999	1	2063.310472125027	verification/new_instance_smoke/E5_20260404_174842
E5	0004	feature_omega_beta	1.0	0.0005000000000000004	1	1	2063.310472125027	verification/new_instance_smoke/E5_20260404_174842
E6	0001	feature_omega_beta	1e-3	8.333333333332524e-11	1000000.000000094	1	inf	verification/new_instance_smoke/E6_20260404_174842
E6	0002	feature_omega_beta	1e-2	8.333333333332525e-09	10000.00000000094	1	inf	verification/new_instance_smoke/E6_20260404_174842
E6	0003	feature_omega_beta	1e-1	8.333333333332525e-07	100.0000000000094	1	inf	verification/new_instance_smoke/E6_20260404_174842
E6	0004	feature_omega_beta	1.0	8.333333333332524e-05	1.000000000000451	1	inf	verification/new_instance_smoke/E6_20260404_174842
E7	0001	eps2	1e-4	0.005000000050000004	1	1	1	verification/new_instance_smoke/E7_20260404_174842
E7	0002	eps2	1e-2	0.005000500000000004	1	1	1	verification/new_instance_smoke/E7_20260404_174842
E7	0003	eps2	1e-1	0.005050000000000004	1	1	1	verification/new_instance_smoke/E7_20260404_174842
E7	0004	eps2	1.0	0.01000000000000001	1	1	1	verification/new_instance_smoke/E7_20260404_174842
E8	0001	feature_omega_beta	1e-3	5.000000000000004e-09	1000000	1	5250.674679057925	verification/new_instance_smoke/E8_20260404_174842
E8	0002	feature_omega_beta	1e-2	5.000000000000005e-07	9999.999999999998	1	5250.674679057925	verification/new_instance_smoke/E8_20260404_174842
E8	0003	feature_omega_beta	1e-1	5.000000000000005e-05	99.99999999999999	1	5250.674679057925	verification/new_instance_smoke/E8_20260404_174842
E8	0004	feature_omega_beta	1.0	0.005000000000000003	1	0.9999999999999999	5250.674679057925	verification/new_instance_smoke/E8_20260404_174842
E9	0001	feature_omega_beta	1e-3	2.568338168940291e-09	2124886.775393777	1	inf	verification/new_instance_smoke/E9_20260404_174842
E9	0002	feature_omega_beta	1e-2	2.56825537661056e-07	21250.23523131963	1	inf	verification/new_instance_smoke/E9_20260404_174842
E9	0003	feature_omega_beta	1e-1	2.559964272607675e-05	213.8785165854646	1	inf	verification/new_instance_smoke/E9_20260404_174842
E9	0004	feature_omega_beta	1.0	0.001737853985040044	4.635433484832843	1	inf	verification/new_instance_smoke/E9_20260404_174842
E10	0001	eps2	1e-4	0.002500000025000001	2.999999940000001	0.9999999999999998	1	verification/new_instance_smoke/E10_20260404_174842
E10	0002	eps2	1e-2	0.002500249975002502	2.999400119976005	1	1	verification/new_instance_smoke/E10_20260404_174842
E10	0003	eps2	1e-1	0.002524752475247527	2.941176470588236	1	1	verification/new_instance_smoke/E10_20260404_174842
E10	0004	eps2	1.0	0.003750000000000004	1	1	1	verification/new_instance_smoke/E10_20260404_174842
E11	0001	eps2	1e-4	3.466666632000004e-11	288461538.4615384	1	1054.478986366311	verification/new_instance_smoke/E11_20260404_174842
E11	0002	eps2	1e-2	3.466320034663205e-07	28846.15384615384	1	1054.478986366311	verification/new_instance_smoke/E11_20260404_174842
E11	0003	eps2	1e-1	3.432343234323436e-05	288.4615384615385	1	1054.478986366311	verification/new_instance_smoke/E11_20260404_174842
